Vardas                   Pavardė                        ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15 Egzaminas
VardasNR2465             PavardeNR2465                     2        10         2         1         2         8         8         9         8         3         6         1         4         8         8         3
VardasNR2466             PavardeNR2466                     8         3         2         3         2         4         5         2         2         6         2         1         1         1         7         1
VardasNR2467             PavardeNR2467                     1         5         6         6         4         6         8         9         3         3        10         3         5         5        10         6
VardasNR2468             PavardeNR2468                     7         2         2         7         9         5         5         8         7         4         2         9         5         4         5         8
VardasNR2469             PavardeNR2469                     7         3        10         4         3         3         5         6         6         6         9         3         8         7         1         4
VardasNR2470             PavardeNR2470                     9         1         5         3         4         1        10         7         2         4         1         7         7         5         7         7
VardasNR2471             PavardeNR2471                     3         5         4         9         9         1         4         7         4         9         2         5         6         3         8         1
VardasNR2472             PavardeNR2472                     5         3         2         2         7         3         9         1         7         8         2         6         1        10        10         9
VardasNR2473             PavardeNR2473                     1         7         9         8         9         2         7        10         7         2         5         7         7         7         1         2
VardasNR2474             PavardeNR2474                     5         5         1         4        10         2         1         2         5         4         3         8         3         1         6        10
VardasNR2475             PavardeNR2475                     2         5         8         4         2         3         1         4         9         6         7         5         8         8         9         6
VardasNR2476             PavardeNR2476                     5         9         5         7         7         1         2         5         3         4         4         9         4        10         6         1
VardasNR2477             PavardeNR2477                     5         3         5         9         1        10         8         8         8         6         3         1         7         4         6         7
VardasNR2478             PavardeNR2478                     8         5         4         8        10         8         1         4        10         1         9         1         5         3         6         5
VardasNR2479             PavardeNR2479                     1         2        10         6         4         4        10         4         6        10         7         6         1         4         2         9
VardasNR2480             PavardeNR2480                     2         6         5         9         8         9        10         4        10         9         8         5         6         8        10         6
VardasNR2481             PavardeNR2481                     3         3         1         9         8         6         9         5         2         3         1         7         7         3         4         9
VardasNR2482             PavardeNR2482                     6         1         6         7         6         7        10         4         4         5         6         2         5         2         6         1
VardasNR2483             PavardeNR2483                     5         7         5        10         6         1         7         1        10         9         3         7         9         6         1         6
VardasNR2484             PavardeNR2484                     6         3         9        10         5         4         9         7         9         1        10         9         2         3         4         9
VardasNR2485             PavardeNR2485                     3         1         7         6        10        10         2        10         8         5         4         6        10        10         5         8
VardasNR2486             PavardeNR2486                     6         5         4         5         8         3         5         1         4        10         6         4         7         1         2         1
VardasNR2487             PavardeNR2487                     7         5         6         9         1         1         3         8         3         8         7         5         6         9        10         4
VardasNR2488             PavardeNR2488                     3         4         1         8        10         5         6         6         2         3         1         9         9         3         1         1
VardasNR2489             PavardeNR2489                     4         7         9         1         9         2         2         6         6         2         3         7         9         6         4         8
VardasNR2490             PavardeNR2490                     3         5         6         8         6         6         5         7         3         3         1         1         8         2         5         7
VardasNR2491             PavardeNR2491                     2         8         6         4        10         2         1         7         2         4         3         7         5         4         8        10
VardasNR2492             PavardeNR2492                     8         7         6         3         6         8         6         5         1         2         3         4         3         5         1         6
VardasNR2493             PavardeNR2493                     9         8         6         2         3         6         7         7         8         3         7         1         5        10         2         9
VardasNR2494             PavardeNR2494                     9        10         4         6         4         2         8         4         3         6         8        10         5         3         3         9
VardasNR2495             PavardeNR2495                     3         2         1         8         3         8         1         1         1         3         1         2         9         6         9         9
VardasNR2496             PavardeNR2496                     5         8        10         2         1         8         1         1         8         9         3         7         7        10         4         9
VardasNR2497             PavardeNR2497                    10         2         3         9        10        10         4         3         6         3         1         7         5         1         3         9
VardasNR2498             PavardeNR2498                     4         8         5        10         2         9         8         8         5         9         3         5         5         3         6         8
VardasNR2499             PavardeNR2499                     1         4         1         1         3         7         5         9        10         6         5        10         6         9         6         1
VardasNR2500             PavardeNR2500                     9         8         7         3         5         6         9         9         8        10         9         8         5         4         9         3
VardasNR2501             PavardeNR2501                     8         9         9         3         9         8         5         4         6         4         3         7         3         2         4         2
VardasNR2502             PavardeNR2502                     8         4         3         2        10         7        10         5         7         3         6         8         7         9         7         8
VardasNR2503             PavardeNR2503                     5         3         7         7         5         8         6         1         4         8         1         5         1         8         3         2
VardasNR2504             PavardeNR2504                     3        10         8         4         2         1        10         5         3         2        10         8         1         2         2         4
VardasNR2505             PavardeNR2505                     4         3         2         7         3         8        10         8         4         2         6         4         7         9         5         9
VardasNR2506             PavardeNR2506                     5         9         9         9         9         3         6         5         1         7         7         6         7         6         2         9
VardasNR2507             PavardeNR2507                     4         5         3         3         7         8         8        10         7         2         4        10         9         5         8         5
VardasNR2508             PavardeNR2508                     5         7         1         2         7         4         6         7         2         3         8         6         4         1         8         3
VardasNR2509             PavardeNR2509                     7         8         2         4         7         9         6         5         7         4         2         2         1         5         7        10
VardasNR2510             PavardeNR2510                     1         1         2         8         9        10         5         4        10         1         8         8         8         1         6         9
VardasNR2511             PavardeNR2511                    10         4         6         7         3         9         9         6         1         6         3        10         1         8         2         2
VardasNR2512             PavardeNR2512                     6         8         9         3         6         1         2         7         9         8         7         8         9         7         6         3
VardasNR2513             PavardeNR2513                     6         4         7         8         4         8         4         8         7         2         5         4         8         3         2         2
VardasNR2514             PavardeNR2514                     4         2         7         3         1        10         3         4         8         8         7         8        10         7         8         3
VardasNR2515             PavardeNR2515                     7         4         1         5         4         7         4         6         5         6         8         4         1         2         8         1
VardasNR2516             PavardeNR2516                     3         1         4         7         7         6         4         9         1         8         6         4        10         3         3         4
VardasNR2517             PavardeNR2517                     7         3         6         7         7         1         4         7         5         7         5         3        10         2         9         6
VardasNR2518             PavardeNR2518                     8         1         7        10         5         4         9         4         6         3         8         2        10         7         6         4
VardasNR2519             PavardeNR2519                     5         7         7         8         8         4         1         2         6        10         7         4        10         4         9         2
VardasNR2520             PavardeNR2520                     8        10         6         6         2         7         6        10         8         3         3         4         7         6         4         3
VardasNR2521             PavardeNR2521                     4         8         2         5         7         8         1        10         7         6         5         2         8         7         6         6
VardasNR2522             PavardeNR2522                     3         5         6         9         3         1         6         2         1         8        10        10         5         3        10         4
VardasNR2523             PavardeNR2523                     5        10         9         1         1         1         2         5         7         5         3         5         4         2         1        10
VardasNR2524             PavardeNR2524                     3         7         4         6         3         6         2        10         6         5        10         6         3        10         2         8
VardasNR2525             PavardeNR2525                     5         3         2         3        10         6         5         7         1         8         6         5         1         1         1         1
VardasNR2526             PavardeNR2526                     8         1         3        10         9        10         3         3         4         5         9         9         9         6         2         1
VardasNR2527             PavardeNR2527                     9         3         9         4        10        10         6        10         7         7         7         1         8         9         9         8
VardasNR2528             PavardeNR2528                     9         3        10         2         7         7         5         6         5         9         1         2         9         2         5         3
VardasNR2529             PavardeNR2529                     9         3         5         5        10         5         4         2         3         6         1         3         8         8        10         6
VardasNR2530             PavardeNR2530                     7         4         6        10         7         2         9         1         7         3         7         2         6         1         6         8
VardasNR2531             PavardeNR2531                     5         2         7         3         1        10         6         1         1        10         9         7         2         3         3         9
VardasNR2532             PavardeNR2532                     1         2         8         5         3         9         4         4         4         5         4         3         2         1         1        10
VardasNR2533             PavardeNR2533                    10         6        10         4         8         2        10         5         8         9         3         8         6         4         4         8
VardasNR2534             PavardeNR2534                     5         4         4         4         3         6         1         7         5         7         4         5         4         6         8         7
VardasNR2535             PavardeNR2535                     7         3         6         9         1         5         7         1         6         3         1         4         6         1         6         3
VardasNR2536             PavardeNR2536                     4         8         4         7         7         3        10         9        10         2         5         7         9         8        10         4
VardasNR2537             PavardeNR2537                     3         3        10         9         4         5         3         7         1         9         2         9         1         7        10         4
VardasNR2538             PavardeNR2538                     2         7         8         6         3         5        10         6        10         3         2         9         3         9         8         9
VardasNR2539             PavardeNR2539                     9         1         3         5         7         1         1         5         4         9         6         9         3         7         7         8
VardasNR2540             PavardeNR2540                     9         8         1         4         9         6         6         4         7         9         2         6         4         3         4         8
VardasNR2541             PavardeNR2541                     4         5         7         2         9         2         5         7        10         4         1         5         3         7         4         3
VardasNR2542             PavardeNR2542                     9        10         1         2         5         7         5         5         6         4         1         9         6         6         5         7
VardasNR2543             PavardeNR2543                     7         4         3         3         4         5         7         9         4         1         8         7         6        10         5        10
VardasNR2544             PavardeNR2544                     4         6         5         5         6         6        10         1         7         9         8         8         7         7        10         7
VardasNR2545             PavardeNR2545                     6         3         3         9        10         9         2         9         4         7         6         3         7         4         3         5
VardasNR2546             PavardeNR2546                     9         3         6         8         1         3         9        10         7         4         1         8        10         9         1        10
VardasNR2547             PavardeNR2547                     9         9         1         1         7         8         7        10         4         7         7         3         1         8         3         6
VardasNR2548             PavardeNR2548                     5         4         6         9         1         8         5         9         3         3         8         2         8         2         9         8
VardasNR2549             PavardeNR2549                     2         2         7         5         4         4         6         3         5         7         4         9        10         4         5         5
VardasNR2550             PavardeNR2550                     9         3         5         1         2         1         7         6         9         5         2         4        10         7         4         9
VardasNR2551             PavardeNR2551                     5         3         4        10         2         8         3         8        10         5         5         1         4        10         8        10
VardasNR2552             PavardeNR2552                     6         3        10         6         5         2         1         9         2         6         5         2         6         2         2         8
VardasNR2553             PavardeNR2553                     4         7         1         4         5         3         4         3        10         8         6         7         1         7         2         9
VardasNR2554             PavardeNR2554                     1         3         3         7        10        10        10         4         2         2        10         7         4         2         2         7
VardasNR2555             PavardeNR2555                     1        10         7         5         4         5         4         5         9         1         1         6         7         9         2         4
VardasNR2556             PavardeNR2556                     7         5         5         1         4         7         1         9         3         4         5         6         1         1         7         9
VardasNR2557             PavardeNR2557                     6         2         8         5         9         8         5         2         6         6         2         8         7         2         2         9
VardasNR2558             PavardeNR2558                     5         8        10         6         3        10         2         8        10         7         5         8         6         4         8        10
VardasNR2559             PavardeNR2559                     4         8        10         9         2         3         3         4         3         1         1         8         6         2         2         1
VardasNR2560             PavardeNR2560                     4         1         6         9         8         3         9         8         2         5         1         7         8         4         4         6
VardasNR2561             PavardeNR2561                     3         9         4         2         3         9         7         7         5         1         9        10         1         7         9         3
VardasNR2562             PavardeNR2562                     9         5         3         3         2         2         2         9         7         9         3         8         3         8         7         1
VardasNR2563             PavardeNR2563                     1         2         5         6        10         8         8         4         6         6         4         8         5         3         4         4
VardasNR2564             PavardeNR2564                     1         9         5         1         7         3         9         4        10         5         6         3         8         3         4        10
VardasNR2565             PavardeNR2565                     6         2         6         1         5        10         8         1         5         3         9         3         2         9         8         4
VardasNR2566             PavardeNR2566                     2        10         1        10         3         7         1         2         3         6         4         5         5         1         6         2
VardasNR2567             PavardeNR2567                     5         3         2        10         9         2         3        10         3         9         8         1         9         5         7         9
VardasNR2568             PavardeNR2568                    10         4         5         9         3         4         7         2         6         9        10         2        10         9         8         4
VardasNR2569             PavardeNR2569                     3         2         1         5         6         2         6         3         6         6        10         7        10         3         2        10
VardasNR2570             PavardeNR2570                     1         8         3         6         6         4         8         4         5         6         7         5         3         5         6         3
VardasNR2571             PavardeNR2571                     3         6         1        10         7         5         9         4         5         5         2         5         8         5         6         1
VardasNR2572             PavardeNR2572                     3         6         7         7         3         9         5         5         5         8         5         5         8         4         1        10
VardasNR2573             PavardeNR2573                     2         5         3         4         8         4         6         3         1         8         3         8         4         5         9         9
VardasNR2574             PavardeNR2574                     1         2         9         5         8         8        10         7         8         7         7         9         5         5         4         2
VardasNR2575             PavardeNR2575                     5         2         1         8         2         3         4         1         5         1        10         7        10         3         2         9
VardasNR2576             PavardeNR2576                     3         2         8         5         9         2         2         3         2         1         3         8         6         2         9         3
VardasNR2577             PavardeNR2577                     7         8         1         4        10         9         6         7         9         8         6         6         6         2         4         5
VardasNR2578             PavardeNR2578                     3         4         6         3         3         7         1        10         2         5         8         4        10         3         4         2
VardasNR2579             PavardeNR2579                     2         1         8         1         7         5         9         2         8         9         3         1        10        10         7         5
VardasNR2580             PavardeNR2580                     9         2         5         2         4         9         8         2        10         9         6         2        10         1         4         4
VardasNR2581             PavardeNR2581                     4         7         2         1         7         2         8         2         3         8        10         5         2         3         8         3
VardasNR2582             PavardeNR2582                     3         2         7         5         4         2         8         5         5         6         7         1         2         9         3         9
VardasNR2583             PavardeNR2583                     1         7         6        10         9         3         3        10         8        10         6         1         7         4         4         7
VardasNR2584             PavardeNR2584                     8         3         5         2         8         4         7         7         4         5         8         1         6         3         9         8
VardasNR2585             PavardeNR2585                     3         8         9         7        10         9         5         1         3        10         7         7         8         6         4         3
VardasNR2586             PavardeNR2586                     7         6         7         5         1        10         9         6        10         8         3         3         6         3         3         3
VardasNR2587             PavardeNR2587                     7         1         6        10         7         8         3         7         7         1         3         3        10         5         5         8
VardasNR2588             PavardeNR2588                     9         9         4         7         8         9        10         3         7         6         3         5        10         1         8         6
VardasNR2589             PavardeNR2589                     6         9         7         9         4         1         4         3         9        10         6        10         7         7        10         8
VardasNR2590             PavardeNR2590                     9         6         8         4         8         1         4         1         9         7         1         9         5         3         8         2
VardasNR2591             PavardeNR2591                     6         2         2         4         5         6         1         6         6         5         3        10        10         6         4         5
VardasNR2592             PavardeNR2592                     3         6         8         8         5         6         1         4         9         1         1         6         7         2        10         5
VardasNR2593             PavardeNR2593                     9         5         7         5         1         4         4         4         1         5         6        10         4         4         2         9
VardasNR2594             PavardeNR2594                     7         3         9         1         8         7         6        10         2         6        10         2         8         1        10         4
VardasNR2595             PavardeNR2595                     2         7         5         3        10         6         5         1         8         9         1         7         3         7        10         3
VardasNR2596             PavardeNR2596                     2         1         8         4         8         1        10         2         8         6         9         9         6         1         5         9
VardasNR2597             PavardeNR2597                    10        10         4         2         2         4         3        10        10         8         7         3         6         4         3         1
VardasNR2598             PavardeNR2598                    10         5         7         8         2         6         9         2         5         2         9         2         9         2         8         7
VardasNR2599             PavardeNR2599                     8         7        10         7         8         5         3         4         1         6        10         3         9        10         6         1
VardasNR2600             PavardeNR2600                     5         5         7         6         5         8         5         9         9        10         5         1         5         9         5         5
VardasNR2601             PavardeNR2601                     5         8         7         6        10         4         4         2         2         2         5         6         6         7         4         5
VardasNR2602             PavardeNR2602                     9         5         7         9         1         8         9         2         7         4         8         6         2         8         3         1
VardasNR2603             PavardeNR2603                    10         5         6         3         1         1         9         6         3         5         5         2        10         8         9         4
VardasNR2604             PavardeNR2604                     2         8         6         5         3         6         6         4         2         7         7         6         7         5         8         2
VardasNR2605             PavardeNR2605                     4         7         9         2         9         8         5        10         4         7         5         8         3         1         7         1
VardasNR2606             PavardeNR2606                     2         7         9         1         1         9         6         8         6         8         5         6         1         9         7        10
VardasNR2607             PavardeNR2607                     3         2         9         1         9         8        10         1        10         9         8         9         3         5         3         4
VardasNR2608             PavardeNR2608                     2         1         7         1         5         9         3         9         1         1         1         9         1         9         1         5
VardasNR2609             PavardeNR2609                     2         2         5         6         9        10         5         5         7         4         3         2         6         8         3         4
VardasNR2610             PavardeNR2610                     5         8         7         4        10        10         8         2         9         3         2         7         2         6        10         9
VardasNR2611             PavardeNR2611                     2         2         9        10         1        10        10         1         7         1         1         4        10         7         1         9
VardasNR2612             PavardeNR2612                     3         2         9         4         9         4         9         4         7         7         2         6         9         8         3         8
VardasNR2613             PavardeNR2613                     7         3         7         1         6         8        10        10         9         1         9         1         8         9         7         1
VardasNR2614             PavardeNR2614                    10         3        10         4         4         4         6         8        10         2         5         5         6         7         4         3
VardasNR2615             PavardeNR2615                    10        10         3         4         3         7         8         7         2         2         9         3         2         1         6         6
VardasNR2616             PavardeNR2616                     5         5         2         3         3         6         8         4         6         1         6         6         6         5         8         7
VardasNR2617             PavardeNR2617                     2         7         6        10         2         5         6         5        10         5         3         5         2         3         9        10
VardasNR2618             PavardeNR2618                     5         2         1         6         7         8         7         6         7         1         9         3         7         8         9         5
VardasNR2619             PavardeNR2619                     1         8         7         5        10         1         5         5         7        10        10         4         4         6         9         6
VardasNR2620             PavardeNR2620                     9        10         3         9         8         9        10         1         4         1         4         8         8         4        10         2
VardasNR2621             PavardeNR2621                     1         9         9         1         3         5         6         3         4         1         3         1         4         1         1         7
VardasNR2622             PavardeNR2622                     6         3         7         3         3         8         3         4         8         7         8         3         6         8         3         3
VardasNR2623             PavardeNR2623                     9        10         9         6         3         4         1         7         9         8         2         5         6         5         4         7
VardasNR2624             PavardeNR2624                     5         5         8         7         3        10         4         1         4         5         4         5         6         7         5         1
VardasNR2625             PavardeNR2625                     9         6         5         6         9         6         5         3         9        10         2         4        10         7         5         9
VardasNR2626             PavardeNR2626                     2         2        10         2         4         6         7         4         3         7        10         4         1         1         3        10
VardasNR2627             PavardeNR2627                     8         3         4        10         2         4         9         9         4         3         6         9         6         2         6         9
VardasNR2628             PavardeNR2628                     9         6         3         2        10         6         4        10         4         4        10         9         2         4         7         1
VardasNR2629             PavardeNR2629                     8         8        10         4         3         2         6         8         7         3         7         5        10         2         1         3
VardasNR2630             PavardeNR2630                     2         2         4         6         9         9         8        10         6         9         9         7         8         7         4         3
VardasNR2631             PavardeNR2631                     3        10         7         9         8         1        10         9         4         4         3        10         2         3         7         9
VardasNR2632             PavardeNR2632                     5         8         3         3         7         1         8         6         3         5         9         5         7         5         6        10
VardasNR2633             PavardeNR2633                     5         6         8         6         2         6        10         5         2         9         4         3         6         9         2         9
VardasNR2634             PavardeNR2634                     8         8         5         5         1         8         5         2         7         4        10         3         7         4         8         2
VardasNR2635             PavardeNR2635                    10        10         7         8         1         4         6         6        10         8         9         6         3         5         4         4
VardasNR2636             PavardeNR2636                     5         8        10         7         8         5         6        10        10         8         3        10         5         8         2         6
VardasNR2637             PavardeNR2637                     6        10         7         1         6         7         1         6         7         9         6         5         6         5         7         1
VardasNR2638             PavardeNR2638                     6        10         5        10        10         8        10         2         3         8         5         5         6         7         9         9
VardasNR2639             PavardeNR2639                     1         2         8         5         9         2         2        10         5         3         4         9         3         2         9         2
VardasNR2640             PavardeNR2640                     1         4         1        10         9         3         6         9        10         2         9         2         6         8        10         8
VardasNR2641             PavardeNR2641                     3         8         3         1         4         1         1         8         7         2         9         3         4        10         9         7
VardasNR2642             PavardeNR2642                    10         2         4         3         1         3        10         9         9         8         6         3        10         2         4         3
VardasNR2643             PavardeNR2643                    10         4         3         5         2         5         6        10         6         2         8         1         6         7         6         9
VardasNR2644             PavardeNR2644                     5        10         1         8         6         3         8         3         3         4         8         7         3         8         5         6
VardasNR2645             PavardeNR2645                     5         4        10         4         5         9         3         5         5         9         9         4         7         7         3         2
VardasNR2646             PavardeNR2646                    10         1         1         7         9         8         3         9         7         5         2         1         2         7         7         5
VardasNR2647             PavardeNR2647                     7         7         5         6         9         9         6         6         8         3         1         4         4         8         6        10
VardasNR2648             PavardeNR2648                     8         9         7         2         3        10         8        10         9         3         1         7        10         8         5         1
VardasNR2649             PavardeNR2649                     2         6         7         6         6         1         1        10         3         4         7         8         2         7         4         1
VardasNR2650             PavardeNR2650                     9         4         8         6         8         9         2         3         6         8         8         2         7         5         9         9
VardasNR2651             PavardeNR2651                     8         4         2         8         1         1         3         6        10         4         8         1         4         2         5         2
VardasNR2652             PavardeNR2652                     7         8         1         5         5         6         7         1         4         8         6         3         8         9         4         2
VardasNR2653             PavardeNR2653                    10         1         1        10         6         3         7         4         3         1         4         8         6         8         8         9
VardasNR2654             PavardeNR2654                     9         8         8         2        10         1        10        10         4         1         6         9         4         9         5         8
VardasNR2655             PavardeNR2655                     4        10         7         9         1         9         4         7         8         7         9         8         8         8         1         5
VardasNR2656             PavardeNR2656                     5         7         6         5         7         6         4         3         4         4         2         8         9         7         1         9
VardasNR2657             PavardeNR2657                     1         6         8         7         6         3         6         9        10         2         8         8         2         1         5         9
VardasNR2658             PavardeNR2658                     7         8         3        10         3         4         8         9         3         6         6         4         2         5         3         7
VardasNR2659             PavardeNR2659                     9         1         3         7         2         9         1         3         2         3         1         7         3         4         6         9
VardasNR2660             PavardeNR2660                     9        10         3         7         2         8         9         6         4         1         7         4         5        10         3         4
VardasNR2661             PavardeNR2661                     8         3         7        10         7         3         8         5         3         9         6         3         2         1         2         1
VardasNR2662             PavardeNR2662                     3         3         3         9         6         7         7        10         2         2         2         8         3        10        10         4
VardasNR2663             PavardeNR2663                     8         7         2         3         5         8         2         7        10         7         3         2         6         8        10         8
VardasNR2664             PavardeNR2664                     7         6        10         1         6         8        10         1         3         1         5         6         3         1         8         5
VardasNR2665             PavardeNR2665                     2        10         3         3         4         8         7         9         8         9         9        10        10         4         3         4
VardasNR2666             PavardeNR2666                     4         5         6         3         4         5         7         9        10         4         1         9         5         8         5         9
VardasNR2667             PavardeNR2667                     4         7         8         7         3         9         3         4         8         8         5         8         2         6         6         2
VardasNR2668             PavardeNR2668                     9         4         5         4         7         5         6        10         6         1         9         7         4         1         8         3
VardasNR2669             PavardeNR2669                     3         3         8         1        10         6         5         7         3         3         3         8         2         4        10         3
VardasNR2670             PavardeNR2670                     6         4         5         3        10         9         9         9         8         6         8         2         3         7         8         7
VardasNR2671             PavardeNR2671                     6        10         7         3         1         6         1         2         3         1         3         6         2        10         4         1
VardasNR2672             PavardeNR2672                     9         5         2         7         9         8         1         9         3         5         3         7         4         5         5         4
VardasNR2673             PavardeNR2673                     5         2         7         4         6        10         7         3         8        10         6         5         9         6         7         2
VardasNR2674             PavardeNR2674                     7         5         9         7         2         8         1         5         4         4         6         4        10        10         4         5
VardasNR2675             PavardeNR2675                     8         1         8         7         3         3         9         8         7         4         7         7        10         4         6         8
VardasNR2676             PavardeNR2676                     1         2         5         1         3         6         1         6         4        10         5        10         5         3         3         8
VardasNR2677             PavardeNR2677                     4         4         8         6         7         8         7         8         6         9         2         3         8         6         4         5
VardasNR2678             PavardeNR2678                     4         5         9         4         6         8         7         2         4         6         9         7         8         7         7         8
